pollster,numeric_grade,state,candidate_name,pct,sample_size,pollscore,transparency_score,population,end_date,national_poll,recency
Ipsos,2.8,National,Kamala Harris,46,3481,-0.9,9.5,rv,2024-10-21,1,15
Ipsos,2.8,National,Donald Trump,43,3481,-0.9,9.5,rv,2024-10-21,1,15
Ipsos,2.8,National,Kamala Harris,48,3307,-0.9,9.5,lv,2024-10-21,1,15
Ipsos,2.8,National,Donald Trump,45,3307,-0.9,9.5,lv,2024-10-21,1,15
InsiderAdvantage,2,Nevada,Kamala Harris,47.7,800,-0.3,5,lv,2024-10-20,0,16
InsiderAdvantage,2,Nevada,Donald Trump,47.9,800,-0.3,5,lv,2024-10-20,0,16
InsiderAdvantage,2,Arizona,Kamala Harris,47,800,-0.3,5,lv,2024-10-20,0,16
InsiderAdvantage,2,Arizona,Donald Trump,49.5,800,-0.3,5,lv,2024-10-20,0,16
Suffolk,2.9,National,Kamala Harris,45.3,1000,-1,8,lv,2024-10-18,1,18
Suffolk,2.9,National,Donald Trump,44.4,1000,-1,8,lv,2024-10-18,1,18
Suffolk,2.9,National,Jill Stein,0.8,1000,-1,8,lv,2024-10-18,1,18
Suffolk,2.9,National,Cornel West,1,1000,-1,8,lv,2024-10-18,1,18
Suffolk,2.9,National,Chase Oliver,0.8,1000,-1,8,lv,2024-10-18,1,18
Suffolk,2.9,National,Kamala Harris,49.7,1000,-1,8,lv,2024-10-18,1,18
Suffolk,2.9,National,Donald Trump,48.7,1000,-1,8,lv,2024-10-18,1,18
Research & Polling,2.1,New Mexico,Kamala Harris,50,1024,-0.9,3.5,lv,2024-10-18,0,18
Research & Polling,2.1,New Mexico,Donald Trump,41,1024,-0.9,3.5,lv,2024-10-18,0,18
Research & Polling,2.1,New Mexico,Robert F. Kennedy,3,1024,-0.9,3.5,lv,2024-10-18,0,18
U. North Florida,2.8,Florida,Kamala Harris,43,977,-0.6,10,lv,2024-10-18,0,18
U. North Florida,2.8,Florida,Donald Trump,53,977,-0.6,10,lv,2024-10-18,0,18
RMG Research,2.3,Florida,Kamala Harris,47,788,-0.4,5,lv,2024-10-17,0,19
RMG Research,2.3,Florida,Donald Trump,52,788,-0.4,5,lv,2024-10-17,0,19
Siena,2.7,New York,Kamala Harris,54,872,-0.8,7,lv,2024-10-17,0,19
Siena,2.7,New York,Donald Trump,37,872,-0.8,7,lv,2024-10-17,0,19
Siena,2.7,New York,Jill Stein,1,872,-0.8,7,lv,2024-10-17,0,19
