pollster,numeric_grade,state,candidate_name,pct,sample_size,pollscore,population,end_date,national_poll,recency
Ipsos,2.8,National,Kamala Harris,46,3481,-0.9,rv,2024-10-21,1,15
Ipsos,2.8,National,Kamala Harris,48,3307,-0.9,lv,2024-10-21,1,15
InsiderAdvantage,2,Nevada,Kamala Harris,47.7,800,-0.3,lv,2024-10-20,0,16
InsiderAdvantage,2,Arizona,Kamala Harris,47,800,-0.3,lv,2024-10-20,0,16
Suffolk,2.9,National,Kamala Harris,45.3,1000,-1,lv,2024-10-18,1,18
Suffolk,2.9,National,Kamala Harris,49.7,1000,-1,lv,2024-10-18,1,18
Research & Polling,2.1,New Mexico,Kamala Harris,50,1024,-0.9,lv,2024-10-18,0,18
U. North Florida,2.8,Florida,Kamala Harris,43,977,-0.6,lv,2024-10-18,0,18
RMG Research,2.3,Florida,Kamala Harris,47,788,-0.4,lv,2024-10-17,0,19
Siena,2.7,New York,Kamala Harris,54,872,-0.8,lv,2024-10-17,0,19
Siena,2.7,New York,Kamala Harris,58,872,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,National,Kamala Harris,47.6,4180,-0.8,lv,2024-10-17,1,19
AtlasIntel,2.7,National,Kamala Harris,48.1,4180,-0.8,lv,2024-10-17,1,19
AtlasIntel,2.7,Arizona,Kamala Harris,48.6,1440,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Arizona,Kamala Harris,49.3,1440,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Kamala Harris,48.1,1411,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Kamala Harris,48.4,1411,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Kamala Harris,46.8,1529,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Kamala Harris,47.3,1529,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Kamala Harris,48.1,1171,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Kamala Harris,48.4,1171,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Kamala Harris,49.5,1674,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Kamala Harris,50.5,1674,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Kamala Harris,46.5,2048,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Kamala Harris,47.4,2048,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Kamala Harris,48.9,932,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Kamala Harris,49,932,-0.8,lv,2024-10-17,0,19
Emerson,2.9,National,Kamala Harris,49.5,1000,-1.1,lv,2024-10-16,1,20
RMG Research,2.3,National,Kamala Harris,50,2950,-0.4,lv,2024-10-16,1,20
YouGov,3,Arizona,Kamala Harris,48,1435,-1.1,lv,2024-10-16,0,20
RMG Research,2.3,Wisconsin,Kamala Harris,49,787,-0.4,lv,2024-10-16,0,20
RMG Research,2.3,Michigan,Kamala Harris,49,789,-0.4,lv,2024-10-16,0,20
U. Georgia SPIA,2.2,Georgia,Kamala Harris,43.4,1000,-0.2,lv,2024-10-16,0,20
InsiderAdvantage,2,Georgia,Kamala Harris,47,800,-0.3,rv,2024-10-15,0,21
YouGov,3,National,Kamala Harris,48,1457,-1.1,rv,2024-10-15,1,21
YouGov,3,National,Kamala Harris,49,1314,-1.1,lv,2024-10-15,1,21
Washington Post/George Mason University,2.7,Arizona,Kamala Harris,44,580,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Arizona,Kamala Harris,46,580,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Kamala Harris,50,730,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Kamala Harris,51,730,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Kamala Harris,46,687,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Kamala Harris,49,687,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Kamala Harris,47,652,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Kamala Harris,48,652,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Kamala Harris,45,965,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Kamala Harris,47,965,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Kamala Harris,49,707,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Kamala Harris,49,707,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Kamala Harris,50,695,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Kamala Harris,50,695,-0.8,lv,2024-10-15,0,21
Mitchell,2.4,Michigan,Kamala Harris,47,589,-0.2,lv,2024-10-14,0,22
Mitchell,2.4,Michigan,Kamala Harris,47.4,589,-0.2,lv,2024-10-14,0,22
Emerson,2.9,California,Kamala Harris,61,1000,-1.1,lv,2024-10-14,0,22
Cygnal,2.1,North Carolina,Kamala Harris,46.6,600,-1.1,lv,2024-10-14,0,22
Beacon/Shaw,2.8,National,Kamala Harris,48,1110,-1.1,rv,2024-10-14,1,22
Beacon/Shaw,2.8,National,Kamala Harris,48,870,-1.1,lv,2024-10-14,1,22
Quinnipiac,2.8,Georgia,Kamala Harris,45,1328,-0.5,lv,2024-10-14,0,22
Quinnipiac,2.8,Georgia,Kamala Harris,46,1328,-0.5,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Kamala Harris,49,1031,-0.5,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Kamala Harris,50,1031,-0.5,lv,2024-10-14,0,22
SurveyUSA,2.8,Washington,Kamala Harris,57,703,-1.3,lv,2024-10-14,0,22
East Carolina University,2.6,Georgia,Kamala Harris,45.8,701,-0.5,lv,2024-10-14,0,22
Fairleigh Dickinson,2.6,National,Kamala Harris,50,806,-0.6,rv,2024-10-14,1,22
Ipsos,2.8,National,Kamala Harris,45,807,-0.9,rv,2024-10-13,1,23
Ipsos,2.8,National,Kamala Harris,47,769,-0.9,lv,2024-10-13,1,23
Ipsos,2.8,National,Kamala Harris,41,938,-0.9,a,2024-10-13,1,23
YouGov,3,National,Kamala Harris,51,2712,-1.1,lv,2024-10-11,1,25
Marist,2.9,National,Kamala Harris,52,1401,-0.9,lv,2024-10-10,1,26
Marist,2.9,National,Kamala Harris,51,1708,-0.9,rv,2024-10-10,1,26
RMG Research,2.3,National,Kamala Harris,50,2945,-0.4,lv,2024-10-10,1,26
Siena/NYT,3,Pennsylvania,Kamala Harris,50,857,-1.5,rv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Kamala Harris,49,857,-1.5,rv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Kamala Harris,50,857,-1.5,lv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Kamala Harris,49,857,-1.5,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,46,808,-1.5,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,45,808,-1.5,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,45,808,-1.5,rv,2024-10-10,0,26
Siena/NYT,3,Arizona,Kamala Harris,44,808,-1.5,rv,2024-10-10,0,26
RMG Research,2.3,Georgia,Kamala Harris,47,731,-0.4,lv,2024-10-10,0,26
UMass Amherst/YouGov,2.4,Massachusetts,Kamala Harris,56,700,-0.4,a,2024-10-10,0,26
University of Massachusetts Lowell/YouGov,2.9,New Hampshire,Kamala Harris,50,600,-1,lv,2024-10-10,0,26
YouGov,3,Texas,Kamala Harris,46,1091,-1.1,lv,2024-10-10,0,26
Marquette Law School,3,National,Kamala Harris,50,780,-1.1,rv,2024-10-10,1,26
Marquette Law School,3,National,Kamala Harris,43,780,-1.1,rv,2024-10-10,1,26
Marquette Law School,3,National,Kamala Harris,50,652,-1.1,lv,2024-10-10,1,26
Marquette Law School,3,National,Kamala Harris,44,652,-1.1,lv,2024-10-10,1,26
U. Houston,2.2,Texas,Kamala Harris,46,1329,-0.3,lv,2024-10-10,0,26
InsiderAdvantage,2,Michigan,Kamala Harris,46,800,-0.3,lv,2024-10-09,0,27
InsiderAdvantage,2,Wisconsin,Kamala Harris,48,800,-0.3,lv,2024-10-09,0,27
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,Kamala Harris,46,800,-1,lv,2024-10-09,0,27
InsiderAdvantage,2,Pennsylvania,Kamala Harris,47,800,-0.3,lv,2024-10-08,0,28
Emerson,2.9,Arizona,Kamala Harris,48.2,1000,-1.1,lv,2024-10-08,0,28
Emerson,2.9,Georgia,Kamala Harris,49.8,1000,-1.1,lv,2024-10-08,0,28
Emerson,2.9,Michigan,Kamala Harris,49.7,950,-1.1,lv,2024-10-08,0,28
Emerson,2.9,Nevada,Kamala Harris,49.2,900,-1.1,lv,2024-10-08,0,28
Emerson,2.9,North Carolina,Kamala Harris,49,1000,-1.1,lv,2024-10-08,0,28
Emerson,2.9,Pennsylvania,Kamala Harris,49,1000,-1.1,lv,2024-10-08,0,28
Emerson,2.9,Wisconsin,Kamala Harris,49.2,1000,-1.1,lv,2024-10-08,0,28
Siena/NYT,3,Montana,Kamala Harris,39,656,-1.5,rv,2024-10-08,0,28
Siena/NYT,3,Montana,Kamala Harris,38,656,-1.5,rv,2024-10-08,0,28
Siena/NYT,3,Montana,Kamala Harris,40,656,-1.5,lv,2024-10-08,0,28
Siena/NYT,3,Montana,Kamala Harris,39,656,-1.5,lv,2024-10-08,0,28
Hart/POS,2.6,National,Kamala Harris,46,1000,-0.7,rv,2024-10-08,1,28
Hart/POS,2.6,National,Kamala Harris,48,1000,-0.7,rv,2024-10-08,1,28
Ipsos,2.8,National,Kamala Harris,49,2631,-0.9,a,2024-10-08,1,28
Ipsos,2.8,National,Kamala Harris,49,2226,-0.9,rv,2024-10-08,1,28
Ipsos,2.8,National,Kamala Harris,50,1714,-0.9,lv,2024-10-08,1,28
Ipsos,2.8,National,Kamala Harris,50,2631,-0.9,a,2024-10-08,1,28
Ipsos,2.8,National,Kamala Harris,50,2226,-0.9,rv,2024-10-08,1,28
Ipsos,2.8,National,Kamala Harris,51,1714,-0.9,lv,2024-10-08,1,28
YouGov,3,National,Kamala Harris,47,1414,-1.1,rv,2024-10-07,1,29
YouGov,3,National,Kamala Harris,49,1230,-1.1,lv,2024-10-07,1,29
Research Co.,2.4,Michigan,Kamala Harris,51,450,-0.5,lv,2024-10-07,0,29
Research Co.,2.4,Pennsylvania,Kamala Harris,50,450,-0.5,lv,2024-10-07,0,29
Research Co.,2.4,Wisconsin,Kamala Harris,50,450,-0.5,lv,2024-10-07,0,29
Ipsos,2.8,National,Kamala Harris,42,1272,-0.9,a,2024-10-07,1,29
Ipsos,2.8,National,Kamala Harris,46,1076,-0.9,rv,2024-10-07,1,29
Ipsos,2.8,National,Kamala Harris,47,1076,-0.9,lv,2024-10-07,1,29
Ipsos,2.8,National,Kamala Harris,48,1272,-0.9,a,2024-10-07,1,29
Ipsos,2.8,National,Kamala Harris,50,1076,-0.9,rv,2024-10-07,1,29
Ipsos,2.8,National,Kamala Harris,51,1076,-0.9,lv,2024-10-07,1,29
Quinnipiac,2.8,Michigan,Kamala Harris,47,1007,-0.5,lv,2024-10-07,0,29
Quinnipiac,2.8,Michigan,Kamala Harris,47,1007,-0.5,lv,2024-10-07,0,29
Quinnipiac,2.8,Pennsylvania,Kamala Harris,49,1412,-0.5,lv,2024-10-07,0,29
Quinnipiac,2.8,Pennsylvania,Kamala Harris,49,1412,-0.5,lv,2024-10-07,0,29
Quinnipiac,2.8,Wisconsin,Kamala Harris,46,1073,-0.5,lv,2024-10-07,0,29
Quinnipiac,2.8,Wisconsin,Kamala Harris,47,1073,-0.5,lv,2024-10-07,0,29
Marist,2.9,Florida,Kamala Harris,47,1257,-0.9,lv,2024-10-07,0,29
Marist,2.9,Florida,Kamala Harris,47,1410,-0.9,rv,2024-10-07,0,29
Marist,2.9,Texas,Kamala Harris,46,1365,-0.9,rv,2024-10-07,0,29
Marist,2.9,Texas,Kamala Harris,46,1186,-0.9,lv,2024-10-07,0,29
Marist,2.9,Ohio,Kamala Harris,46,1511,-0.9,rv,2024-10-07,0,29
Marist,2.9,Ohio,Kamala Harris,46,1327,-0.9,lv,2024-10-07,0,29
The Washington Post,3,Ohio,Kamala Harris,45,1002,-1.2,lv,2024-10-07,0,29
The Washington Post,3,Ohio,Kamala Harris,44,1002,-1.2,rv,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Kamala Harris,38,539,-0.4,lv,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Kamala Harris,36,539,-0.4,lv,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Kamala Harris,39,600,-0.4,rv,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Kamala Harris,37,600,-0.4,rv,2024-10-07,0,29
Research Co.,2.4,National,Kamala Harris,49,1001,-0.5,lv,2024-10-06,1,30
Pew,2.5,National,Kamala Harris,48,4025,-0.4,rv,2024-10-06,1,30
Pew,2.5,National,Kamala Harris,50,4025,-0.4,rv,2024-10-06,1,30
Siena/NYT,3,National,Kamala Harris,49,3385,-1.5,lv,2024-10-06,1,30
Siena/NYT,3,National,Kamala Harris,47,3385,-1.5,lv,2024-10-06,1,30
