pollster,numeric_grade,state,candidate_name,pct,sample_size,pollscore,population,end_date,national_poll,recency
Ipsos,2.8,National,Donald Trump,43,3481,-0.9,rv,2024-10-21,1,15
Ipsos,2.8,National,Donald Trump,45,3307,-0.9,lv,2024-10-21,1,15
InsiderAdvantage,2,Nevada,Donald Trump,47.9,800,-0.3,lv,2024-10-20,0,16
InsiderAdvantage,2,Arizona,Donald Trump,49.5,800,-0.3,lv,2024-10-20,0,16
Suffolk,2.9,National,Donald Trump,44.4,1000,-1,lv,2024-10-18,1,18
Suffolk,2.9,National,Donald Trump,48.7,1000,-1,lv,2024-10-18,1,18
Research & Polling,2.1,New Mexico,Donald Trump,41,1024,-0.9,lv,2024-10-18,0,18
U. North Florida,2.8,Florida,Donald Trump,53,977,-0.6,lv,2024-10-18,0,18
RMG Research,2.3,Florida,Donald Trump,52,788,-0.4,lv,2024-10-17,0,19
Siena,2.7,New York,Donald Trump,37,872,-0.8,lv,2024-10-17,0,19
Siena,2.7,New York,Donald Trump,39,872,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,National,Donald Trump,50.7,4180,-0.8,lv,2024-10-17,1,19
AtlasIntel,2.7,National,Donald Trump,50.8,4180,-0.8,lv,2024-10-17,1,19
AtlasIntel,2.7,Arizona,Donald Trump,49.2,1440,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Arizona,Donald Trump,49.2,1440,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Donald Trump,49.5,1411,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Donald Trump,50.1,1411,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Donald Trump,49.6,1529,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Donald Trump,50.2,1529,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Donald Trump,48.4,1171,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Donald Trump,48.3,1171,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Donald Trump,48.8,1674,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Donald Trump,48.8,1674,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Donald Trump,49.8,2048,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Donald Trump,49.9,2048,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Donald Trump,48.2,932,-0.8,lv,2024-10-17,0,19
